sku;nama_produk;gambar;barcode;sni
ASFF-04RF;Food Warmer Round dengan Pemanas dan Frame;;;
ASFF-05R;Food Warmer Penghangat Makanan Bulat - Asta;;;
ASFF-05S;Food Warmer Penghangat Makanan Persegi - Asta;;;
ASFM-02BG;Cutlery Set Beige Wheatstraw;;;?
ASFM-02BL;Cutlery Set Blue Wheatstraw;;;?
ASFM-02GR;Cutlery Set Green Wheatstraw;;;?
ASFM-02PK;Cutlery Set Pink Wheatstraw;;;?
ASFMD-01KS;Keset Kaki / Floor Mat Diatomite 3D Kotak 40x60 Motif 01;;;?
ASFMD-01VS;Keset Kaki / Floor Mat Diatomite 3D Oval 40x60 Motif 01;;;?
ASFMD-02KS;Keset Kaki / Floor Mat Diatomite 3D Kotak 40x60 Motif 02;;;?
ASFMD-02VS;Keset Kaki / Floor Mat Diatomite 3D Oval 40x60 Motif 02;;;?
ASFMD-03KB;Keset Kaki / Floor Mat Diatomite 3D Oval 50x80 Motif 03;;;?
ASFMD-03KS;Keset Kaki / Floor Mat Diatomite 3D Oval 40x60 Motif 03;;;?
ASFMD-04KB;Keset Kaki / Floor Mat Diatomite 3D Kotak 50x80 Motif 04;;;?
ASFMD-04KS;Keset Kaki / Floor Mat Diatomite 3D Kotak 40x60 Motif 04;;;?
ASFMD-05KB;Keset Kaki / Floor Mat Diatomite 3D Kotak 50x80 Motif 05;;;?
ASFMD-05KS;Keset Kaki / Floor Mat Diatomite 3D Kotak 40x60 Motif 05;;;?
ASFMD-06VB;Keset Kaki / Floor Mat Diatomite 3D Oval 50x80Motif 06;;;?
ASFMD-06VS;Keset Kaki / Floor Mat Diatomite 3D Oval 40x60 Motif 06;;;?
ASFMD-07VB;Keset Kaki / Floor Mat Diatomite 3D Oval 50x80 Motif 07;;;?
ASFMD-07VS;Keset Kaki / Floor Mat Diatomite 3D Oval 40x60 Motif 07;;;?
ASFMD-08VB;Keset Kaki / Floor Mat Diatomite 3D Oval 50x80 Motif 08;;;?
ASFMD-08VS;Keset Kaki / Floor Mat Diatomite 3D Oval 40x60 Motif 08;;;?
